LID 	 PID 	 TYPE 	 AREA 	 AREA_CSD 	 AREA_LSD 	 PERIM 	 PERIM_CSD 	 PERIM_CPS 	 PERIM_LSD 	 GYRATE 	 PARA 	 SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	102	 grassland 	1.33	-0.2815	-0.1557	1060	-0.1553	75	-0.0614	73.3714	796.9925	2.2083
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	103	 urban 	4.23	1.5203	-0.0765	2240	1.9346	100	0.2746	154.2082	529.5508	2.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	104	 bare 	0.4	0.0215	-0.1811	500	0.1583	73.0769	-0.2209	38.6682	1250	1.9231
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	105	 forest 	0.5	-0.2259	-0.1784	460	-0.2993	54.2857	-0.2323	32.1694	920	1.5333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	106	 forest 	0.63	-0.2221	-0.1748	400	-0.3211	45.7143	-0.2494	31.0211	634.9206	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	107	 bare 	0.67	0.545	-0.1737	700	0.5539	76.9231	-0.1639	73.3576	1044.7761	2.0588
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	108	 bare 	0.41	0.0409	-0.1808	420	0	65.3846	-0.2437	34.3227	1024.3902	1.6154
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	109	 forest 	4.3	-0.1153	-0.0746	1160	-0.0452	85.7143	-0.0329	86.1559	269.7674	1.381
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	110	 forest 	0.25	-0.2332	-0.1852	360	-0.3356	28.5714	-0.2607	29.1085	1440	1.8
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	111	 water 	0.31	-0.6886	-0.1836	360	-0.4615	33.3333	-0.2607	27.8989	1161.2903	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	112	 forest 	2.49	-0.168	-0.124	1200	-0.0307	88.5714	-0.0215	76.1584	481.9277	1.875
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	113	 forest 	1.28	-0.2032	-0.1571	1020	-0.096	80	-0.0728	53.0798	796.875	2.2174
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	114	 forest 	0.24	-0.2335	-0.1855	340	-0.3429	25.7143	-0.2664	32.8164	1416.6667	1.7
